generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
2,9.007917,49.7,-14.896321,9.0,0.295194,75.7,-8.503547,5.3,[NH3+]C12CNCCSCC(CO)(CSCCNC1)CSCCNC2,"[6, 12, 18, 3, 15, 21]","[{'functional_group': 'chloro', 'smiles_inds': [9]}]"
2,9.223894,50.8,-7.129147,41.8,0.002343,3.7,-0.821125,74.1,CCOC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)OCC,"[9, 16]",[]
2,10.054506,55.0,-14.226569,10.6,0.172469,68.3,-7.866238,6.9,CC12CNCCNCC([NH2+]CC3=CSC=C3)(CNCCNC1)CNCCNC2,"[17, 26, 20, 6, 23, 3]",[]
2,10.585014,57.1,-1.673431,82.0,0.288040,75.1,-8.358602,5.3,CN1N(C(=O)C(=C1C)N=Cc1cc(Br)ccc1[O-])c1ccccc1,"[8, 4, 17]",[]
2,10.785913,58.2,-8.014758,38.1,0.073826,56.6,-5.163740,18.0,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'methyl_ester', 'smiles_inds': [20]}, {'functional_group': 'amide', 'smiles_inds': [16]}, {'functional_group': 'methyl', 'smiles_inds': [15]}]"
2,10.903242,59.8,-3.060818,63.5,0.038943,40.7,-13.517860,1.1,OCC(N=Cc1cc(ccc1[O-])N(=O)=O)c1ccccc1,"[11, 0, 3]",[]
2,10.914722,60.3,-8.048406,38.1,0.034380,40.2,-5.585977,16.4,O=N(=O)C12CNCCN3CCN(CCNC1)CCN(CCNC2)CC3,"[14, 8, 11, 21, 18, 5]","[{'functional_group': 'ethyl', 'smiles_inds': [7]}]"
2,12.165124,67.7,-3.295836,63.5,0.013275,20.1,-5.148594,18.5,O=C([O-])C1=CNC=N1,"[2, 7]",[]
2,12.287841,68.8,-4.509632,54.5,0.009569,13.8,-8.032847,6.3,O=C([O-])c1ccnc(n1)c1ccccn1,"[14, 6]",[]
2,12.579832,69.3,-25.866563,2.1,0.002338,3.7,-2.217911,46.0,[nH+]1c2ccccc2nc2c1c1cccnc1c1ncccc21,"[14, 17]",[]
2,13.719955,72.5,-3.318365,63.0,0.008106,11.1,-4.784771,21.2,Oc1cccc(n1)C(=O)[O-],"[6, 9]",[]
2,33.951045,95.8,-2.138346,73.5,0.004051,5.8,-5.205830,18.0,Fc1c[c-]c(cc1C(F)(F)F)c1ccccn1,"[3, 16]",[]
3,0.168098,0.0,-3.097860,65.3,0.005159,6.4,-5.903516,14.4,O=C([N-]CCON(=O)=O)c1ccccn1,"[14, 2]","[{'functional_group': 'phenyl', 'smiles_inds': [10]}]"
3,0.394739,0.5,-6.635308,48.0,0.034321,39.1,-2.050930,49.5,CC(CN=CC1=NNC=C1)(CN=CC1=NNC=C1)CN=CC1=NNC=C1,"[19, 3, 22, 6, 11, 14]","[{'functional_group': 'chloro', 'smiles_inds': [24]}]"
3,0.586116,1.0,-1.431365,87.1,0.074134,56.4,-7.518459,8.4,CNCCCN=Cc1c([O-])ccc2ccccc12,"[9, 1, 5]",[]
3,0.872954,2.0,-5.765495,51.5,0.004607,5.9,-0.345906,88.6,c1cnc2c(c1)ccc1ccc3cccnc3c21,"[15, 2]","[{'functional_group': 'methyl_ester', 'smiles_inds': [7]}, {'functional_group': 'ethyl', 'smiles_inds': [5]}]"
3,1.004562,2.5,-1.668777,83.2,0.028473,35.6,-8.254791,5.9,NC1CCCCC1N=Cc1ccc(Br)cc1[O-],"[16, 7, 0]",[]
3,1.270509,5.0,-6.251301,49.0,0.066560,52.5,-2.558946,37.1,COc1ccc(CNC(=S)NN=Cc2ccccn2)cc1,"[9, 11]",[]
3,1.280612,5.4,-6.526226,49.0,0.007610,11.4,-1.240726,61.4,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]",[]
3,1.354261,6.4,-7.583574,44.1,0.044879,45.0,-3.428749,26.2,NC(=N)NN=O,"[4, 2]","[{'functional_group': 'iodo', 'smiles_inds': [0]}]"
3,1.516245,6.9,-7.012498,46.5,0.007169,7.9,-0.365702,87.1,CC(=N)C=N,"[2, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [3]}]"
3,1.541657,7.4,-5.499850,54.0,0.044594,44.6,-7.353429,8.4,O=C([O-])CN(CC(=O)[O-])Cc1ccc(cc1)N(=O)=O,"[2, 8, 4]","[{'functional_group': 'carboxyl', 'smiles_inds': [12]}]"
3,1.958806,10.9,-5.939721,50.5,0.376194,78.7,-14.050135,1.0,CC(=NN=C([O-])c1ccccc1)C1=Cc2ccc([O-])cc2OC1=O,"[23, 5, 2]","[{'functional_group': 'cyano', 'smiles_inds': [0]}]"
3,2.638411,15.3,-23.129215,3.0,0.891272,92.6,-1.156425,64.9,[NH3+]C12CNCCNCC([NH2+]Cc3ccccc3O)(CNCCNC1)CNCCNC2,"[6, 3, 19, 22, 25, 28]","[{'functional_group': 'carbonyl', 'smiles_inds': [10]}]"
3,2.956254,19.8,-6.829113,46.5,0.322607,76.7,-4.799120,19.8,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1ccccn1,"[24, 2, 15]",[]
3,3.021296,20.8,-3.596777,61.9,0.017721,22.8,-2.521407,38.6,CCNC([S-])=NN=CC1=CNc2ccccc12,"[4, 6]",[]
3,3.551709,22.8,-6.565035,49.0,0.021227,28.2,-1.384561,57.4,C(CN(Cc1nccc2ccccc12)Cc1nccc2ccccc12)N(Cc1nccc2ccccc12)Cc1nccc2ccccc12,"[2, 5, 16, 25, 28, 39]","[{'functional_group': 'aldehyde', 'smiles_inds': [20]}, {'functional_group': 'aldehyde', 'smiles_inds': [35]}]"
3,4.002150,25.2,-8.072884,41.6,0.012816,18.8,-0.742155,77.2,CCNC(=S)NN=CC1=CC=C(O1)N(=O)=O,"[6, 4]",[]
3,4.425501,28.7,-23.418617,3.0,3.458339,96.5,-0.354137,87.6,[NH3+]C12CNCCNCC([NH2+]CCCCCCCCCCCCC)(CNCCNC1)CNCCNC2,"[6, 3, 24, 27, 30, 33]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [34]}]"
3,4.522531,29.2,-12.111053,21.8,0.000231,1.0,-0.369731,87.1,O=C1C=CC(=O)N1c1ccc2C=NNc2c1,[12],"[{'functional_group': 'thiol', 'smiles_inds': [9]}, {'functional_group': 'cyanimide', 'smiles_inds': [15]}]"
3,4.611863,30.7,-6.220200,49.0,0.535923,84.2,-8.817940,4.5,Cc1cc(C=NN=C([O-])C(C)(C)C)c([O-])c(c1)C(O)=O,"[14, 5, 8]",[]
3,4.903305,32.2,-4.271085,57.4,0.009308,13.9,-1.829831,52.5,CC(C)C1(C)[NH+]=C([N-]C1=O)c1ncccc1C(=O)[O-],"[7, 11]",[]
3,4.917281,32.7,-8.220968,40.6,0.042827,43.1,-2.812659,32.2,CC(=O)c1cncc(c1)C(C)=O,[5],[]
3,5.328965,34.7,-6.109434,49.5,0.021826,28.2,-3.635000,23.8,CC1=CC=C(O1)C=NNC(N)=S,"[11, 7]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}]"
3,5.952153,37.1,-6.286277,49.0,0.006661,7.4,-2.802830,32.2,Cc1cccc(N=CNc2nccc(C)n2)n1,"[16, 6]","[{'functional_group': 'methyl_ester', 'smiles_inds': [2]}]"
3,6.099463,38.6,-2.275705,72.8,0.003280,5.9,-1.104327,67.3,COC(=O)c1cccc[c-]1,"[1, 9]","[{'functional_group': 'trifluro', 'smiles_inds': [7]}, {'functional_group': 'carboxylate', 'smiles_inds': [6]}]"
3,7.452405,43.1,-2.972540,66.3,0.001577,3.0,-4.159947,20.8,c1ccc(nc1)C1=NC(=N[N-]1)c1ccncc1,"[10, 4]",[]
3,8.336873,46.5,-6.075449,49.5,0.015644,20.8,-4.790211,19.8,Nc1ncc(cn1)c1ccc(nc1)c1ccccn1,"[11, 18]","[{'functional_group': 'phosphonate', 'smiles_inds': [9]}]"
3,8.602138,48.0,-8.022334,41.6,0.451904,83.2,-3.141840,29.7,N#CNC#N,[0],[]
