generation,section,smiles,coordList,functionalization,success_prob
0,median,CC1=CC(=NN1)CC(=O)Nc1ccccc1NC(=O)c1ccccc1,"[8, 4]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [6]}, {'functional_group': 'carboxyl', 'smiles_inds': [13]}]",0.19629021658721138
0,median,CC1(C)C2CC=C(C=Nc3ccccc3[S-])C1C2,"[15, 8]",[],0.19630070512976672
0,median,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[N-]C(=O)c1cccc(n1)C(=O)[N-]c1cc(cc(c1)C(F)(F)F)C(F)(F)F,"[14, 25, 22]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [27]}]",0.19637192434437917
0,median,[O-]C(=NP(c1ccccc1)c1ccccc1)c1ccccn1,"[3, 0]",[],0.196426676911728
0,median,CCOC(=O)CN(C)CCN(C)Cc1ccccn1,"[18, 10, 6]",[],0.19643985285375
0,median,Brc1c(Br)c2cccnc2c2ncccc12,"[8, 11]","[{'functional_group': 'ethyl', 'smiles_inds': [7]}]",0.19651021380282863
0,median,CN(Cc1ccccc1[CH-]CC[Si](C)(C)C)Cc1cc(C)cc(c1[O-])C12CC3CC(CC(C3)C1)C2,"[24, 9, 1]",[],0.1965898877125988
0,median,O1C(=NN=C1c1ccc([c-]c1)c1ccccn1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,"[9, 23]",[],0.19660687862407672
0,median,CC(=O)SCCCCCCOc1cc(nc(c1)c1ccccn1)c1ccccn1,"[28, 14, 22]","[{'functional_group': 'carbonyl', 'smiles_inds': [16]}]",0.19662085919930672
0,median,C(N1C=C(N=N1)c1ccccn1)C1=Nc2ccccc2N1,"[1, 4]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}, {'functional_group': 'amino', 'smiles_inds': [18]}, {'functional_group': '2-hydroxypyridine', 'smiles_inds': [20]}]",0.19666787193586682
0,median,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [2]}, {'functional_group': 'ketone', 'smiles_inds': [5]}]",0.19672059160548613
0,median,COc1ccc(CCN=Cc2c([O-])ccc3ccccc23)cc1OC,"[12, 8]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [24]}]",0.19675412328848965
0,median,CC1=NC(=S)NC=C1,[4],"[{'functional_group': 'ethyl_ester', 'smiles_inds': [0]}]",0.19679661208171667
0,median,Fc1c(F)c(F)c(c(F)c1F)C1=N[N-]C(=N1)c1ccccn1,"[21, 13]","[{'functional_group': 'methyl_ester', 'smiles_inds': [17]}, {'functional_group': 'carboxyllic_acid', 'smiles_inds': [20]}]",0.19680893328521717
0,median,C1CCC(OCc2cccc(n2)c2ccccn2)C(C1)OCc1cccc(n1)c1ccccn1,"[4, 20, 11, 17, 27, 33]","[{'functional_group': 'trifluro', 'smiles_inds': [0]}, {'functional_group': 'thiol', 'smiles_inds': [24]}]",0.1968191146878155
0,median,CC1=CC(=NN1)CC(=O)Nc1ccccc1NC(=O)c1ccccc1,"[8, 4]","[{'functional_group': 'ethyl', 'smiles_inds': [0]}]",0.19682046385997057
0,median,Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F,[0],"[{'functional_group': 'fluoro', 'smiles_inds': [6]}]",0.1968588847597333
0,median,CN1C=CN=C1CN(CC1=NC=CN1C)S(C)(=O)=O,"[4, 10, 7]",[],0.19688317456355092
0,median,CC1=CC(=NN1)CC(=O)Nc1ccccc1NC(=O)c1ccccc1,"[8, 4]","[{'functional_group': 'fluoro', 'smiles_inds': [0]}, {'functional_group': 'methyl_ester', 'smiles_inds': [5]}]",0.19694154503606287
0,median,CC1=C(C(=NN1)C)N(=O)=O,[4],"[{'functional_group': 'phenyl', 'smiles_inds': [6]}, {'functional_group': 'methyl', 'smiles_inds': [5]}]",0.19695668120328724
0,top,CC(=NCC(C)(C)C)c1cccc(n1)C(C)=NCC(C)(C)C,"[13, 16]",[],0.9999672700867083
0,top,CC1=C(CNCCN(CCNCC2=C(C)NC=N2)CCNCC2=C(C)NC=N2)N=CN1,"[10, 17, 4, 28, 20, 27]",[],0.9999773561307511
0,top,CC(C)(C)OC(=O)[C-]=C(C(=O)OC(C)(C)C)C(C(=O)OC(C)(C)C)(C(=O)C(=O)OC(C)(C)C)c1cccc[c-]1,"[38, 7, 25]","[{'functional_group': 'iodo', 'smiles_inds': [14]}, {'functional_group': 'tribromo', 'smiles_inds': [3]}]",0.9999785673596215
0,top,C1CCC2=NN3CN4CN(C3)N=C3CCCCC3=NN3CN(CN(C3)N=C3CCCCC3=N4)N=C2C1,"[32, 33, 18, 25, 4, 11]","[{'functional_group': 'amino', 'smiles_inds': [20]}, {'functional_group': 'thiol', 'smiles_inds': [27]}]",0.9999909773209373
0,top,Oc1ccc(C=NCCNCCNCCN=Cc2ccc([O-])cc2[O-])c([O-])c1,"[6, 9, 12, 15, 26, 24]",[],0.9999915303383695
0,top,C1CCC2=NN3CN4CN(C3)N=C3CCCCC3=NN3CN(CN(C3)N=C3CCCCC3=N4)N=C2C1,"[32, 33, 18, 25, 4, 11]",[],0.9999936674496273
0,top,COC1C2OC(CO)C(OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(O2)C(OC)C7OC)C(OC)C6OC)C(OC)C5OC)C(OC)C4OC)C(OC)C3OC)C1OC,"[42, 7]",[],0.9999980625660527
0,top,C1CN2CCN=CC=NCCN(CCN=CC=N1)CCN=CC=NCC2,"[17, 23, 14, 20, 5, 8]",[],0.99999843204054
0,top,CC(C)(C)OP(OC(C)(C)C)OC(C)(C)C,[5],[],0.999998675294103
