generation,num_attempted,num_proposed,num_retained,num_selected_A,num_selected_B,num_valid,num_repeated,num_success_repeated,num_timeout,avg_time_success,avg_time_fail,ei_avg,sp_avg,ei_sel_avg,sp_sel_avg,added_points,size_pareto,num_group_A,num_group_B,num_group_C
21,57387,49887,3000,2850,150,109,0,0,46,1012.7987905642308,173.806394820412,0.7042319642391804,0.3970809679637228,0.9269832775919733,0.35544488278695163,19,264,40224,5392,4271
22,57674,49890,3000,2850,150,125,0,0,48,893.7831753444672,154.23302481869075,0.6691055522148726,0.3994938478672163,0.9312666666666667,0.4142812410234554,17,276,40293,5375,4222
23,57658,49899,3000,2850,150,115,0,0,42,972.1563428567804,160.22647796310744,0.666148179322231,0.4092108070098754,0.9030666666666666,0.365372910852244,17,282,40312,5257,4330
24,57619,49908,3000,2850,150,116,0,0,50,869.1629847473112,138.0790169683855,0.6738386631401779,0.410470537247277,0.91996,0.3980263036521735,16,295,40334,5215,4359
25,57641,49895,3000,2850,150,90,0,0,53,899.1399832460615,137.96181008162773,0.6742114440324681,0.4074054585058359,0.9111066666666666,0.3305946359350465,19,290,40433,5113,4349
26,57671,49894,3000,2850,150,114,0,0,62,893.3714484833835,162.52642787464202,0.662426664528801,0.4014263564025348,0.9050266666666668,0.39018998817667305,11,295,40467,5160,4267
27,57958,49890,3000,2850,150,111,0,0,51,932.0637057514878,111.27489318536675,0.6493735017037482,0.40401832423145073,0.8921866666666665,0.4065977446374814,16,304,40541,5083,4266
28,57824,49888,3000,2850,150,110,0,0,36,920.5012238805945,150.75532918936247,0.6783494227068634,0.40386707923731496,0.9053733333333334,0.3708940823478972,13,313,40594,5031,4263
29,58023,49880,3000,2850,150,114,0,0,41,944.2388083265539,123.4845401763916,0.6774514033680834,0.40530812062267974,0.9043333333333332,0.3832913727906231,19,323,40587,5089,4204
30,58250,49875,3000,2850,150,131,0,0,42,918.4338599907533,134.44790919371476,0.6749702255639097,0.4031116602362212,0.8875733333333335,0.4425754130559536,16,338,40618,4997,4260
31,58075,49906,3000,2850,150,123,0,0,51,942.7659324611105,121.38834081188081,0.6817834328537651,0.3984425191841311,0.9203333333333334,0.4128694733106923,14,352,40606,5018,4282
32,57982,49897,3000,2850,150,105,0,0,58,823.0044117655073,103.68009913228724,0.667459847285408,0.398458848990644,0.9132266666666667,0.36949750252407126,16,364,40741,5026,4130
33,58343,49887,3000,2850,150,106,0,0,47,920.0939338926999,160.43558925674074,0.6794822699300418,0.39513050932098537,0.92132,0.3487477062188098,12,374,40808,4906,4173
34,58443,49891,3000,2850,150,118,0,0,52,962.8141721264791,174.30794756962703,0.6441503277144174,0.391523402873197,0.8792933333333334,0.3832604876638088,12,386,40839,4796,4256
35,58384,49893,3000,2850,150,114,0,0,55,967.7510372818562,142.8861056120341,0.6261263103040506,0.39165357771001735,0.8655333333333334,0.40172507318121975,16,398,40638,4997,4258
36,58519,49885,3000,2850,150,108,0,0,52,924.3813919667845,125.01252766677311,0.6359829207176506,0.38452944309361287,0.88092,0.35913325097210014,13,410,40980,4771,4134
37,58470,49882,3000,2850,150,126,0,0,50,895.4551540972694,132.75710693607485,0.6452952969006855,0.37984923026953976,0.8874113712374583,0.40993468103603753,12,417,41051,4603,4228
38,58592,49887,3000,2850,150,99,0,0,57,920.228314729652,175.18462588224145,0.6468004089241687,0.3843042636252928,0.8911866666666667,0.3238542072919177,15,432,40907,4780,4200
39,58752,49895,3000,2850,150,135,0,0,46,901.9359171337552,139.80625713572783,0.6759615993586532,0.3789800824287015,0.8898266666666665,0.4263384633363298,15,432,40978,4629,4288
40,58985,49873,3000,2850,150,121,0,0,39,842.2170350453085,181.0975046822003,0.6375622882120586,0.37963654101178856,0.8745866666666666,0.37713771765728954,9,434,41064,4525,4284
41,58642,49883,3000,2850,150,94,0,0,62,998.37858878298,151.81498633987374,0.6222118156486178,0.37606868249934594,0.8768533333333333,0.3306329158650653,14,442,41120,4610,4153
